,NAME,year,month,Min_Infections,Max_Infections,New Cases,date,Code,STATE,POPESTIMATE2020,New Cases Per 100000
0,Alabama,2020,3,6,999,993,03/28/2020,AL,1,4921532,20.176644183152725
1,Alabama,2020,4,1108,7068,5960,04/28/2020,AL,1,4921532,121.10050285155111
2,Alabama,2020,5,7294,17952,10658,05/28/2020,AL,1,4921532,216.5585837905758
3,Alabama,2020,6,18534,38045,19511,06/28/2020,AL,1,4921532,396.4415958282909
4,Alabama,2020,7,38962,87723,48761,07/28/2020,AL,1,4921532,990.7687281114905
5,Alabama,2020,8,89349,126058,36709,08/28/2020,AL,1,4921532,745.8856307344948
6,Alabama,2020,9,127616,154701,27085,09/28/2020,AL,1,4921532,550.3367650560842
7,Alabama,2020,10,155744,192285,36541,10/28/2020,AL,1,4921532,742.472059513176
8,Alabama,2020,11,193985,249524,55539,11/28/2020,AL,1,4921532,1128.490071790654
9,Alabama,2020,12,252900,361226,108326,12/28/2020,AL,1,4921532,2201.0625959558934
10,Alabama,2021,1,365747,459639,93892,01/28/2021,AL,1,4921532,1907.779935190912
11,Alabama,2021,2,460860,493252,32392,02/28/2021,AL,1,4921532,658.1690416723899
12,Alabama,2021,3,493769,515388,21619,03/28/2021,AL,1,4921532,439.273787105316
13,Alabama,2021,4,515866,527922,12056,04/28/2021,AL,1,4921532,244.9643728822651
14,Alabama,2021,5,528309,543405,15096,05/28/2021,AL,1,4921532,306.73375688708313
15,Alabama,2021,6,544045,550983,6938,06/28/2021,AL,1,4921532,140.9723638899432
16,Alabama,2021,7,550983,585607,34624,07/28/2021,AL,1,4921532,703.5207736127694
17,Alabama,2021,8,587405,699729,112324,08/28/2021,AL,1,4921532,2282.297463472756
19,Alaska,2020,3,1,133,132,03/28/2020,AK,2,731158,18.05355340432574
20,Alaska,2020,4,143,353,210,04/28/2020,AK,2,731158,28.721562234154586
21,Alaska,2020,5,362,469,107,05/28/2020,AK,2,731158,14.634319805021622
22,Alaska,2020,6,476,1132,656,06/28/2020,AK,2,731158,89.72068964574004
23,Alaska,2020,7,1174,3675,2501,07/28/2020,AK,2,731158,342.06012927438394
24,Alaska,2020,8,3825,6075,2250,08/28/2020,AK,2,731158,307.7310239373706
25,Alaska,2020,9,6109,8707,2598,09/28/2020,AK,2,731158,355.3267556396839
26,Alaska,2020,10,8838,16247,7409,10/28/2020,AK,2,731158,1013.3240694897682
27,Alaska,2020,11,16597,32407,15810,11/28/2020,AK,2,731158,2162.3233281999237
28,Alaska,2020,12,32911,46740,13829,12/28/2020,AK,2,731158,1891.3832577910657
29,Alaska,2021,1,46740,53985,7245,01/28/2021,AK,2,731158,990.8938970783332
30,Alaska,2021,2,54091,57846,3755,02/28/2021,AK,2,731158,513.5688866154784
31,Alaska,2021,3,58229,62559,4330,03/28/2021,AK,2,731158,592.2112593994732
32,Alaska,2021,4,62785,67598,4813,04/28/2021,AK,2,731158,658.2708525380287
33,Alaska,2021,5,67598,69627,2029,05/28/2021,AK,2,731158,277.50499891952217
34,Alaska,2021,6,69737,70669,932,06/28/2021,AK,2,731158,127.4690285820575
35,Alaska,2021,7,70669,74853,4184,07/28/2021,AK,2,731158,572.2429351795371
36,Alaska,2021,8,74853,87842,12989,08/28/2021,AK,2,731158,1776.4970088544474
40,Arizona,2020,3,1,1298,1297,03/28/2020,AZ,4,7421401,17.476484561338214
41,Arizona,2020,4,1413,7648,6235,04/28/2020,AZ,4,7421401,84.01378661522264
42,Arizona,2020,5,7962,19936,11974,05/28/2020,AZ,4,7421401,161.34419902657194
43,Arizona,2020,6,20123,79399,59276,06/28/2020,AZ,4,7421401,798.7171155419306
44,Arizona,2020,7,84152,174108,89956,07/28/2020,AZ,4,7421401,1212.1161489589365
45,Arizona,2020,8,177019,201866,24847,08/28/2020,AZ,4,7421401,334.80201379766436
46,Arizona,2020,9,202375,218511,16136,09/28/2020,AZ,4,7421401,217.42525434213835
47,Arizona,2020,10,219214,245962,26748,10/28/2020,AZ,4,7421401,360.4171233975903
48,Arizona,2020,11,247484,327046,79562,11/28/2020,AZ,4,7421401,1072.061730662445
49,Arizona,2020,12,338254,523829,185575,12/28/2020,AZ,4,7421401,2500.538644927016
50,Arizona,2021,1,530267,758576,228309,01/28/2021,AZ,4,7421401,3076.359840951863
51,Arizona,2021,2,762458,817232,54774,02/28/2021,AZ,4,7421401,738.0547150059672
52,Arizona,2021,3,818268,841811,23543,03/28/2021,AZ,4,7421401,317.231207422965
53,Arizona,2021,4,842200,862497,20297,04/28/2021,AZ,4,7421401,273.4928351129389
54,Arizona,2021,5,863571,881450,17879,05/28/2021,AZ,4,7421401,240.91138586905626
55,Arizona,2021,6,881454,894875,13421,06/28/2021,AZ,4,7421401,180.8418653027912
56,Arizona,2021,7,895347,927235,31888,07/28/2021,AZ,4,7421401,429.67628349418123
57,Arizona,2021,8,929541,1011923,82382,08/28/2021,AZ,4,7421401,1110.0599469022088
59,Arkansas,2020,3,1,564,563,03/28/2020,AR,5,3030522,18.57765757846338
60,Arkansas,2020,4,624,3281,2657,04/28/2020,AR,5,3030522,87.67466462873394
61,Arkansas,2020,5,3310,7253,3943,05/28/2020,AR,5,3030522,130.10959828042826
62,Arkansas,2020,6,7443,20777,13334,06/28/2020,AR,5,3030522,439.99020630769223
63,Arkansas,2020,7,21197,42511,21314,07/28/2020,AR,5,3030522,703.3111787342247
64,Arkansas,2020,8,43173,61224,18051,08/28/2020,AR,5,3030522,595.6399590565586
65,Arkansas,2020,9,61497,83697,22200,09/28/2020,AR,5,3030522,732.5470661490001
66,Arkansas,2020,10,84821,112190,27369,10/28/2020,AR,5,3030522,903.1117411455849
67,Arkansas,2020,11,113057,157359,44302,11/28/2020,AR,5,3030522,1461.8603659699552
68,Arkansas,2020,12,159309,225138,65829,12/28/2020,AR,5,3030522,2172.200036825339
69,Arkansas,2021,1,229442,295268,65826,01/28/2021,AR,5,3030522,2172.1010439785623
70,Arkansas,2021,2,296494,322415,25921,02/28/2021,AR,5,3030522,855.3311937679383
71,Arkansas,2021,3,322509,330398,7889,03/28/2021,AR,5,3030522,260.31818940763344
72,Arkansas,2021,4,330609,335725,5116,04/28/2021,AR,5,3030522,168.815801370193
73,Arkansas,2021,5,335968,341381,5413,05/28/2021,AR,5,3030522,178.6160932011053
74,Arkansas,2021,6,341450,349385,7935,06/28/2021,AR,5,3030522,261.8360797248791
75,Arkansas,2021,7,350085,386452,36367,07/28/2021,AR,5,3030522,1200.024286245076
76,Arkansas,2021,8,388436,452891,64455,08/28/2021,AR,5,3030522,2126.861313001523
80,California,2020,3,33,8583,8550,03/28/2020,CA,6,39368078,21.718103687967698
81,California,2020,4,9857,50470,40613,04/28/2020,CA,6,39368078,103.16226258238972
82,California,2020,5,52318,113114,60796,05/28/2020,CA,6,39368078,154.42968793142504
83,California,2020,6,115643,232153,116510,06/28/2020,CA,6,39368078,295.9504398462124
84,California,2020,7,239764,502273,262509,07/28/2020,CA,6,39368078,666.8067463186798
85,California,2020,8,509507,712543,203036,08/28/2020,CA,6,39368078,515.7376491684455
86,California,2020,9,716630,821126,104496,09/28/2020,CA,6,39368078,265.4333290032599
87,California,2020,10,824307,935262,110955,10/28/2020,CA,6,39368078,281.8400227717492
88,California,2020,11,938897,1237238,298341,11/28/2020,CA,6,39368078,757.8246517394117
89,California,2020,12,1253905,2307860,1053955,12/28/2020,CA,6,39368078,2677.181751163976
90,California,2021,1,2345811,3324064,978253,01/28/2021,CA,6,39368078,2484.888899071984
91,California,2021,2,3341656,3569578,227922,02/28/2021,CA,6,39368078,578.9513016104063
92,California,2021,3,3573775,3669048,95273,03/28/2021,CA,6,39368078,242.00571844020425
93,California,2021,4,3671690,3742224,70534,04/28/2021,CA,6,39368078,179.1654649739314
94,California,2021,5,3743780,3789883,46103,05/28/2021,CA,6,39368078,117.10757126624266
95,California,2021,6,3791188,3818311,27123,06/28/2021,CA,6,39368078,68.89592120804068
96,California,2021,7,3866606,4037490,170884,07/28/2021,CA,6,39368078,434.0674187853417
97,California,2021,8,4040811,4449186,408375,08/28/2021,CA,6,39368078,1037.3252156226677
99,Colorado,2020,3,2,2990,2988,03/28/2020,CO,8,5807719,51.448770162606
100,Colorado,2020,4,3346,15207,11861,04/28/2020,CO,8,5807719,204.22820043462846
101,Colorado,2020,5,15661,26364,10703,05/28/2020,CO,8,5807719,184.28921922703216
102,Colorado,2020,6,26563,32698,6135,06/28/2020,CO,8,5807719,105.63527608687679
103,Colorado,2020,7,33012,46948,13936,07/28/2020,CO,8,5807719,239.9565130475493
104,Colorado,2020,8,47357,57797,10440,08/28/2020,CO,8,5807719,179.76076321874388
105,Colorado,2020,9,58118,71090,12972,09/28/2020,CO,8,5807719,223.35791383846222
106,Colorado,2020,10,71723,107844,36121,10/28/2020,CO,8,5807719,621.9481348873801
107,Colorado,2020,11,110640,234502,123862,11/28/2020,CO,8,5807719,2132.7133768007716
108,Colorado,2020,12,238779,335579,96800,12/28/2020,CO,8,5807719,1666.7473064726444
109,Colorado,2021,1,338357,397138,58781,01/28/2021,CO,8,5807719,1012.1185270843854
110,Colorado,2021,2,399384,430970,31586,02/28/2021,CO,8,5807719,543.8624010562494
111,Colorado,2021,3,432186,464782,32596,03/28/2021,CO,8,5807719,561.2530496051892
112,Colorado,2021,4,466368,513752,47384,04/28/2021,CO,8,5807719,815.8796939039233
113,Colorado,2021,5,515125,546168,31043,05/28/2021,CO,8,5807719,534.5127751532056
114,Colorado,2021,6,546596,560927,14331,06/28/2021,CO,8,5807719,246.75780629193665
115,Colorado,2021,7,561460,578499,17039,07/28/2021,CO,8,5807719,293.38540655978704
116,Colorado,2021,8,578713,619083,40370,08/28/2021,CO,8,5807719,695.109388040296
118,Connecticut,2020,3,1,3128,3127,03/28/2020,CT,9,3557006,87.9110128012154
119,Connecticut,2020,4,3557,27700,24143,04/28/2020,CT,9,3557006,678.7449894658598
120,Connecticut,2020,5,28764,42201,13437,05/28/2020,CT,9,3557006,377.7615219091562
121,Connecticut,2020,6,42740,46514,3774,06/28/2020,CT,9,3557006,106.10046764048192
122,Connecticut,2020,7,46572,49810,3238,07/28/2020,CT,9,3557006,91.03161479064134
123,Connecticut,2020,8,49810,52879,3069,08/28/2020,CT,9,3557006,86.28042797791177
124,Connecticut,2020,9,53006,57550,4544,09/28/2020,CT,9,3557006,127.7478868464096
125,Connecticut,2020,10,57742,71207,13465,10/28/2020,CT,9,3557006,378.54870078937176
126,Connecticut,2020,11,71207,117295,46088,11/28/2020,CT,9,3557006,1295.6964368347988
127,Connecticut,2020,12,118754,185708,66954,12/28/2020,CT,9,3557006,1882.3133837840028
128,Connecticut,2021,1,185708,250023,64315,01/28/2021,CT,9,3557006,1808.1217743236869
129,Connecticut,2021,2,253954,279946,25992,02/28/2021,CT,9,3557006,730.7269090915225
130,Connecticut,2021,3,282626,310888,28262,03/28/2021,CT,9,3557006,794.5446254518548
131,Connecticut,2021,4,312468,339233,26765,04/28/2021,CT,9,3557006,752.458668891759
132,Connecticut,2021,5,339233,347341,8108,05/28/2021,CT,9,3557006,227.9445128852749
133,Connecticut,2021,6,347563,349352,1789,06/28/2021,CT,9,3557006,50.295107739486525
134,Connecticut,2021,7,349387,354335,4948,07/28/2021,CT,9,3557006,139.10575354666256
135,Connecticut,2021,8,354335,373072,18737,08/28/2021,CT,9,3557006,526.7632385213857
137,Delaware,2020,3,1,319,318,03/28/2020,DE,10,986809,32.22508104405209
138,Delaware,2020,4,368,4734,4366,04/28/2020,DE,10,986809,442.4361755922372
139,Delaware,2020,5,4918,9498,4580,05/28/2020,DE,10,986809,464.12223642062446
140,Delaware,2020,6,9605,11474,1869,06/28/2020,DE,10,986809,189.39835368343822
141,Delaware,2020,7,11510,14788,3278,07/28/2020,DE,10,986809,332.18181025912816
